Date,Hour,Rank,Topic,Volume
2019-01-03,08:33,1,#116thCongress,17.710
2019-01-03,08:33,2,#ThursdayThoughts,60.157
2019-01-03,08:33,3,Nancy Pelosi,147.278
2019-01-03,08:33,4,#PersonalSpaceIn5Words,0
2019-01-03,08:33,5,Martin O'Malley,0
2019-01-03,08:33,6,Celgene,0
2019-01-03,08:33,7,Terry McAuliffe,0
2019-01-03,08:33,8,#IWouldLikeToGiveAShout,0
2019-01-03,08:33,9,J.R.R. Tolkien,11.259
2019-01-03,08:33,10,Reuben Foster,0
2019-01-03,09:08,1,#116thCongress,24.207
2019-01-03,09:08,2,#ThursdayThoughts,66.037
2019-01-03,09:08,3,Nancy Pelosi,149.723
2019-01-03,09:08,4,Reuben Foster,0
2019-01-03,09:08,5,#PersonalSpaceIn5Words,0
2019-01-03,09:08,6,Martin O'Malley,0
2019-01-03,09:08,7,J.R.R. Tolkien,12.423
2019-01-03,09:08,8,#IWouldLikeToGiveAShout,0
2019-01-03,09:08,9,Terry McAuliffe,0
2019-01-03,09:08,10,Kevin Hassett,0
2019-01-03,09:33,1,#116thCongress,29.492
2019-01-03,09:33,2,#ThursdayThoughts,70.084
2019-01-03,09:33,3,Nancy Pelosi,156.036
2019-01-03,09:33,4,Reuben Foster,0
2019-01-03,09:33,5,Martin O'Malley,0
2019-01-03,09:33,6,#PersonalSpaceIn5Words,0
2019-01-03,09:33,7,#BreakfastTVShows,0
2019-01-03,09:33,8,#swearinginday,0
2019-01-03,09:33,9,J.R.R. Tolkien,13.304
2019-01-03,09:33,10,Kevin Hassett,0
2019-01-03,10:03,1,#116thCongress,37.062
2019-01-03,10:03,2,#ThursdayThoughts,74.325
2019-01-03,10:03,3,Nancy Pelosi,157.457
2019-01-03,10:03,4,Reuben Foster,0
2019-01-03,10:03,5,Martin O'Malley,0
2019-01-03,10:03,6,#PersonalSpaceIn5Words,0
2019-01-03,10:03,7,#BreakfastTVShows,0
2019-01-03,10:03,8,#swearinginday,0
2019-01-03,10:03,9,Paul Ryan,49.655
2019-01-03,10:03,10,R. Kelly,19.719
2019-01-03,10:38,1,#116thCongress,47.092
2019-01-03,10:38,2,#ThursdayThoughts,79.038
2019-01-03,10:38,3,Nancy Pelosi,167.295
2019-01-03,10:38,4,Reuben Foster,0
2019-01-03,10:38,5,R. Kelly,22.098
2019-01-03,10:38,6,Paul Ryan,53.628
2019-01-03,10:38,7,#PersonalSpaceIn5Words,0
2019-01-03,10:38,8,J.R.R. Tolkien,15.562
2019-01-03,10:38,9,Martin O'Malley,0
2019-01-03,10:38,10,#BreakfastTVShows,0
2019-01-03,11:03,1,#116thCongress,54.690
2019-01-03,11:03,2,Liz Cheney,0
2019-01-03,11:03,3,#ThursdayThoughts,82.130
2019-01-03,11:03,4,Hakeem Jeffries,0
2019-01-03,11:03,5,Reuben Foster,0
2019-01-03,11:03,6,R. Kelly,23.086
2019-01-03,11:03,7,Paul Ryan,55.202
2019-01-03,11:03,8,Cuomo,18.624
2019-01-03,11:03,9,#PersonalSpaceIn5Words,0
2019-01-03,11:03,10,C-SPAN,0
2019-01-03,11:30,1,#116thCongress,62.061
2019-01-03,11:30,2,Nancy Pelosi,179.703
2019-01-03,11:30,3,#ThursdayThoughts,85.346
2019-01-03,11:30,4,Liz Cheney,0
2019-01-03,11:30,5,Hakeem Jeffries,0
2019-01-03,11:30,6,Cuomo,20.087
2019-01-03,11:30,7,Jim Jordan,10.316
2019-01-03,11:30,8,R. Kelly,25.417
2019-01-03,11:30,9,L Train,0
2019-01-03,11:30,10,Reuben Foster,0
2019-01-03,12:05,1,#116thCongress,73.817
2019-01-03,12:05,2,Nancy Pelosi,194.771
2019-01-03,12:05,3,#ThursdayThoughts,89.075
2019-01-03,12:05,4,David Robertson,0
2019-01-03,12:05,5,Liz Cheney,0
2019-01-03,12:05,6,Hakeem Jeffries,0
2019-01-03,12:05,7,Cuomo,20.402
2019-01-03,12:05,8,R. Kelly,28.120
2019-01-03,12:05,9,Kevin McCarthy,0
2019-01-03,12:05,10,L Train,0
2019-01-03,12:30,1,#116thCongress,82.727
2019-01-03,12:30,2,David Robertson,0
2019-01-03,12:30,3,#ThursdayThoughts,91.642
2019-01-03,12:30,4,Ed Burke,0
2019-01-03,12:30,5,Cuomo,21.528
2019-01-03,12:30,6,Liz Cheney,0
2019-01-03,12:30,7,#LTrainShutdown,0
2019-01-03,12:30,8,R. Kelly,30.420
2019-01-03,12:30,9,Paul Ryan,65.043
2019-01-03,12:30,10,jim jordan,11.293
2019-01-03,13:00,1,Nancy Pelosi,248.314
2019-01-03,13:00,2,David Robertson,0
2019-01-03,13:00,3,#ThursdayThoughts,94.689
2019-01-03,13:00,4,Ed Burke,0
2019-01-03,13:00,5,Liz Cheney,0
2019-01-03,13:00,6,Cuomo,22.431
2019-01-03,13:00,7,R. Kelly,34.080
2019-01-03,13:00,8,Alexandria Ocasio-Cortez,19.350
2019-01-03,13:00,9,#Batwoman,0
2019-01-03,13:00,10,All-Star,27.151
2019-01-03,13:32,1,Nancy Pelosi,269.077
2019-01-03,13:32,2,#MCILIV,71.878
2019-01-03,13:32,3,#ThursdayThoughts,98.130
2019-01-03,13:32,4,David Robertson,0
2019-01-03,13:32,5,Ed Burke,0
2019-01-03,13:32,6,Paul Ryan,78.683
2019-01-03,13:32,7,Alexandria Ocasio-Cortez,20.375
2019-01-03,13:32,8,#LTrainShutdown,0
2019-01-03,13:32,9,R. Kelly,37.540
2019-01-03,13:32,10,#AHLAllStar,0
2019-01-03,14:02,1,#116thCongress,108.832
2019-01-03,14:02,2,#MCILIV,98.799
2019-01-03,14:02,3,Aguero,50.394
2019-01-03,14:02,4,Alexandria Ocasio-Cortez,21.679
2019-01-03,14:02,5,#ThursdayThoughts,100.796
2019-01-03,14:02,6,david robertson,0
2019-01-03,14:02,7,Paul Ryan,85.472
2019-01-03,14:02,8,Jim Webb,0
